candidate_id,rank,score,reasoning
CAND_0046132,1,0.924089365,"Exceptional AI Research Engineer (4.3 YOE) bringing 3 core ML competencies from Verloop.io. Profile closely matches the JD's emphasis on embeddings, retrieval, and production deployment. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0053605,2,0.9145335858,"Senior Software Engineer (ML) with 6.9 years of experience and 2/7 core ML skill pillars matched — strong alignment with the Senior AI Engineer founding-team role. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0068932,3,0.9101699333,"5.2-year ML Engineer at Krutrim with specialization in RAG. Strong match for the JD's requirement of shipping end-to-end ranking and retrieval systems. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location)."
CAND_0067866,4,0.8349350048,"Senior Software Engineer (ML) currently at Tech Mahindra, 6.4 YOE. Covers 2/7 core skill areas; particularly strong in Embeddings which directly maps to the JD's hybrid search infrastructure needs. Based in Pune/Noida (JD's target location), 79% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0098454,5,0.7661147454,"AI Specialist with 6.6 years of experience and 2/7 core ML skill pillars matched — strong alignment with the Senior AI Engineer founding-team role. 87% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Indore, Madhya Pradesh, not in JD's preferred Pune/Noida hubs."
CAND_0043860,6,0.7617173433,"Junior ML Engineer with 6.1 years at Aganitha. 2/7 core pillars matched including Information Retrieval — well-suited for the founding-team AI engineer position. 30-day notice period (within JD's preferred window), 81% recruiter response rate (highly responsive). however based in Bhubaneswar, Odisha, not in JD's preferred Pune/Noida hubs; no GitHub linked (JD values open-source contributions)."
CAND_0079550,7,0.7564607193,"Top candidate: AI Specialist with 3.9 YOE at Zomato. Matches 3/7 core pillars including Fine-tuning LLMs; aligns with the JD's need for hands-on builders over researchers. 88% recruiter response rate (highly responsive), strong GitHub activity (score: 76/100). however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0073007,8,0.7437591761,"Highly ranked AI Specialist (5.8 YOE) currently at Aganitha, matching 2 of 7 core competencies the JD requires for building retrieval and ranking infrastructure. 83% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0070514,9,0.7333419916,"AI Specialist with 5.5 years at Glance. 0/7 core pillars matched including Systems Architecture — well-suited for the founding-team AI engineer position. 80% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Bangalore, Karnataka, not in JD's preferred Pune/Noida hubs."
CAND_0063622,10,0.7257488467,"Top candidate: Computer Vision Engineer with 5.2 YOE at Niramai. Matches 3/7 core pillars including Vector Search; aligns with the JD's need for hands-on builders over researchers. 30-day notice period (within JD's preferred window), 92% recruiter response rate (highly responsive). however based in Hyderabad, Telangana, not in JD's preferred Pune/Noida hubs; no GitHub linked (JD values open-source contributions)."
CAND_0026942,11,0.7053952269,"Junior ML Engineer at Verloop.io (6.0 YOE) with 1 core skill matches including Information Retrieval. Profile shows the production-engineering orientation the JD describes. 30-day notice period (within JD's preferred window), 84% recruiter response rate (highly responsive). however based in Chandigarh, Chandigarh, not in JD's preferred Pune/Noida hubs."
CAND_0033179,12,0.6990070836,"6.9-year AI Research Engineer at Wipro with expertise in Fine-tuning LLMs. Matches several JD requirements around production ML systems and scalable AI infrastructure. 30-day notice period (within JD's preferred window), 84% recruiter response rate (highly responsive). however based in Ahmedabad, Gujarat, not in JD's preferred Pune/Noida hubs; no GitHub linked (JD values open-source contributions)."
CAND_0004402,13,0.698318466,"AI Research Engineer with 6.0 YOE at Yellow.ai, covering 2/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 83% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Delhi, Delhi, not in JD's preferred Pune/Noida hubs."
CAND_0043384,14,0.6940267703,"Computer Vision Engineer with 5.2 YOE at Razorpay, covering 1/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 83% recruiter response rate (highly responsive), career history shows direct ranking/retrieval/search system experience. however 60-day notice period (above the JD's preferred 30-day window but manageable); based in Chennai, Tamil Nadu, not in JD's preferred Pune/Noida hubs."
CAND_0048558,15,0.6788609479,"Data Scientist with 6.7 YOE at Rephrase.ai, covering 1/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location). however no GitHub linked (JD values open-source contributions)."
CAND_0049120,16,0.6722377707,Project Manager at Wayne Enterprises (7.4 YOE) with 5 core skill matches including RAG. Profile shows the production-engineering orientation the JD describes. Based in Pune/Noida (JD's target location). however 60-day notice period (above the JD's preferred 30-day window but manageable); no GitHub linked (JD values open-source contributions).
CAND_0098217,17,0.6719950663,"6.4-year ML Engineer at Glance with expertise in Systems Architecture. Matches several JD requirements around production ML systems and scalable AI infrastructure. Based in Pune/Noida (JD's target location), 84% recruiter response rate (highly responsive). however 45-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0081480,18,0.6664218303,"Competent Computer Vision Engineer (5.6 YOE) at Sarvam AI with 3/7 core ML skills matched. Background in Fine-tuning LLMs connects to the JD's ranking and evaluation focus. Based in Pune/Noida (JD's target location), 85% recruiter response rate (highly responsive). however 60-day notice period (above the JD's preferred 30-day window but manageable)."
CAND_0018888,19,0.6612259722,"AI Research Engineer with 6.5 YOE at Razorpay, covering 3/7 core ML competencies. Solid background relevant to the retrieval and ranking requirements in the JD. 30-day notice period (within JD's preferred window), based in Pune/Noida (JD's target location)."
